,DSTRCT_PPR_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
420,0.4,0.0,0.0,0.0,5.2,1.3,27.2,0.1,36.9,0.0,0.0,0.0,0.0,6.9,0.0,25.9,2.8,연천군,0.0,2.2,0.0,0.0,0.0,5.7,0.0,3.6,0.5,9.2,0.7,0.0,0.2,발생량,1.3,0.9,0.0,0.0,경기,2017
421,0.0,0.0,0.0,0.0,0.1,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,연천군,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.2,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,경기,2017
422,0.0,0.0,0.0,0.0,5.1,1.3,25.7,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,연천군,0.0,2.1,0.0,0.0,0.0,5.1,0.0,3.1,0.0,9.0,0.0,0.0,0.0,소각,1.3,0.0,0.0,0.0,경기,2017
423,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9.7,0.0,0.0,0.0,0.0,6.9,0.0,0.0,2.8,연천군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7,0.0,0.2,재활용,0.0,0.9,0.0,0.0,경기,2017
424,1.3,0.1,2.6,0.4,16.8,5.2,37.5,0.1,71.1,0.0,0.9,1.2,1.0,21.3,0.1,31.3,12.3,가평군,0.0,5.4,0.0,0.0,1.8,2.5,0.0,2.2,0.3,4.3,2.1,2.0,0.5,발생량,1.0,1.9,1.3,0.0,경기,2017
425,0.0,0.1,0.0,0.0,1.3,3.2,9.1,0.0,11.2,0.0,0.9,0.0,1.0,2.1,0.0,4.9,0.0,가평군,0.0,1.7,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.5,0.0,1.0,0.0,매립,1.0,0.0,0.3,0.0,경기,2017
426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,가평군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,경기,2017
427,1.3,0.0,2.6,0.4,15.5,2.0,28.4,0.1,59.9,0.0,0.0,1.2,0.0,19.2,0.1,26.4,12.3,가평군,0.0,3.7,0.0,0.0,1.8,2.2,0.0,1.2,0.3,3.8,2.1,1.0,0.5,재활용,0.0,1.9,1.0,0.0,경기,2017
428,0.3,1.8,0.0,0.6,6.6,6.3,42.3,0.1,65.4,0.0,6.3,0.0,5.8,17.8,0.1,30.2,5.3,양평군,0.0,1.7,0.0,0.0,0.0,10.1,0.0,0.9,0.8,9.1,1.8,0.0,0.3,발생량,0.0,1.3,0.0,0.0,경기,2017
429,0.0,0.4,0.0,0.0,1.5,6.3,19.1,0.0,19.1,0.0,6.3,0.0,5.8,0.0,0.0,7.0,0.0,양평군,0.0,0.4,0.0,0.0,0.0,2.4,0.0,0.2,0.0,2.1,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,경기,2017
