,DSTRCT_PPR_KIND_QTY,DSTRCT_RSDL_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
571,4.4,2.9,0.0,0.0,0.2,0.0,0.2,1.2,3.6,89.7,10.0,0.0,4.9,0.0,35.2,2.1,1.0,53.3,논산시,0.0,0.0,0.0,0.0,11.4,0.0,2.2,0.0,3.1,1.0,3.9,0.2,0.7,재활용,0.0,3.9,0.0,0.0,충남,2018
572,2.9,0.0,0.9,0.0,0.0,3.9,2.0,17.9,0.0,36.7,0.1,0.0,0.0,0.0,13.5,0.0,15.9,5.3,계룡시,0.0,0.2,0.0,0.0,0.3,5.5,0.5,0.4,0.3,5.0,0.8,0.3,0.2,발생량,1.1,0.2,0.6,0.0,충남,2018
573,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,계룡시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.8,0.0,0.0,0.0,충남,2018
574,0.0,0.0,0.9,0.0,0.0,3.9,0.0,15.9,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,계룡시,0.0,0.2,0.0,0.0,0.0,5.5,0.0,0.4,0.0,5.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,충남,2018
575,2.9,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,20.0,0.1,0.0,0.0,0.0,13.5,0.0,0.0,5.3,계룡시,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.3,0.0,0.8,0.3,0.2,재활용,0.3,0.2,0.6,0.0,충남,2018
576,0.6,0.0,4.4,0.0,0.2,18.0,5.2,79.7,0.2,133.0,6.9,0.2,0.0,0.5,42.4,0.1,74.0,10.9,당진시,0.0,4.4,0.0,0.0,0.3,22.3,0.1,1.7,0.3,23.2,1.0,1.6,0.1,발생량,0.8,1.1,2.6,0.0,충남,2018
577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,당진시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,충남,2018
578,0.0,0.0,4.4,0.0,0.0,18.0,5.2,79.7,0.0,85.0,0.0,0.2,0.0,0.5,5.3,0.0,74.0,0.0,당진시,0.0,4.4,0.0,0.0,0.0,22.3,0.0,1.7,0.0,23.2,0.0,1.6,0.0,소각,0.8,0.0,2.6,0.0,충남,2018
579,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,48.0,6.9,0.0,0.0,0.0,37.1,0.1,0.0,10.9,당진시,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.3,0.0,1.0,0.0,0.1,재활용,0.0,1.1,0.0,0.0,충남,2018
580,0.2,0.0,5.5,0.0,0.0,5.5,1.0,25.5,0.1,39.7,1.4,0.0,0.0,0.6,11.0,0.0,23.9,3.2,금산군,0.0,0.2,0.0,0.0,0.0,3.5,0.0,0.4,0.1,8.8,0.3,0.0,0.2,발생량,0.0,0.9,1.0,0.0,충남,2018
